,股票日期,更新時間點,股票類別,股票名稱,股票代號,開盤價,漲停價,跌停價,當日最高,當日最低,成交價,成交量
149,20210531,13:30:00,電器電纜,大亞,1609,29.2500,31.0500,25.4500,30.5000,28.9500,29.3000,1609
150,20210531,13:30:00,電器電纜,中電,1611,11.2500,12.3500,10.1500,11.8000,11.2500,11.4000,1611
151,20210531,13:30:00,電器電纜,宏泰,1612,25.3500,27.3000,22.4000,26.6000,25.2500,25.5500,1612
152,20210531,13:30:00,電器電纜,三洋電,1614,33.9500,37.0500,30.3500,34.1000,33.5500,33.8000,1614
153,20210531,13:30:00,電器電纜,大山,1615,39.2000,42.3500,34.6500,42.0000,38.9000,40.3500,1615
154,20210531,13:30:00,電器電纜,億泰,1616,10.3500,10.5000,8.6200,10.5000,10.0500,10.5000,1616
155,20210531,13:30:00,電器電纜,榮星,1617,19.4000,20.7500,17.0500,20.2500,18.9000,19.3000,1617
156,20210531,13:30:00,電器電纜,合機,1618,16.2500,17.6000,14.4000,16.8500,16.1000,16.2000,1618
157,20210531,13:30:00,電器電纜,艾美特-KY,1626,24.0000,26.5500,21.7500,24.2500,24.0000,24.2000,1626
158,20210531,13:30:00,電器電纜,燦星網,4930,25.2000,27.4000,22.5000,25.2000,24.1500,24.2500,4930
159,20210531,13:30:00,電器電纜,禾聯碩,5283,119.5000,131.0000,108.0000,122.5000,118.0000,118.5000,5283
160,20210531,13:30:00,玻璃陶瓷,台玻,1802,34.0000,35.6500,29.2500,35.2500,32.7500,32.9000,1802
161,20210531,13:30:00,玻璃陶瓷,冠軍,1806,11.7000,12.8000,10.5000,12.2500,11.5000,11.6500,1806
162,20210531,13:30:00,玻璃陶瓷,中釉,1809,14.3000,15.5500,12.7500,14.7500,14.0500,14.2000,1809
163,20210531,13:30:00,玻璃陶瓷,和成,1810,11.3500,12.4000,10.2000,11.6000,11.1500,11.2000,1810
164,20210531,13:30:00,玻璃陶瓷,凱撒衛,1817,35.8000,39.1500,32.0500,36.5000,35.8000,36.3000,1817
165,20210531,13:30:00,造紙工業,士紙,1903,53.0000,58.3000,47.7000,53.5000,52.0000,52.4000,1903
166,20210531,13:30:00,造紙工業,正隆,1904,41.2000,45.3000,37.1000,42.0000,41.1500,41.3000,1904
167,20210531,13:30:00,造紙工業,華紙,1905,24.0000,26.2000,21.5000,25.4500,24.0000,24.3500,1905
168,20210531,13:30:00,造紙工業,寶隆,1906,19.4500,21.2000,17.4000,19.8500,19.3000,19.4000,1906
169,20210531,13:30:00,造紙工業,永豐餘,1907,38.1000,41.5000,34.0000,39.1000,37.8000,38.2500,1907
170,20210531,13:30:00,造紙工業,榮成,1909,23.5000,25.7000,21.1000,24.3000,23.3500,23.4500,1909
171,20210531,13:30:00,鋼鐵工業,中鋼,2002,37.7000,40.2000,32.9000,39.1000,36.4500,36.9500,2002
172,20210531,13:30:00,鋼鐵工業,中鋼特,2002A,51.6000,56.7000,46.4500,51.7000,51.4000,51.7000,2002A
173,20210531,13:30:00,鋼鐵工業,東和鋼鐵,2006,49.8000,52.7000,43.2000,51.3000,47.8000,48.3500,2006
174,20210531,13:30:00,鋼鐵工業,燁興,2007,15.5500,15.5500,12.7500,15.5500,14.5500,15.1500,2007
175,20210531,13:30:00,鋼鐵工業,高興昌,2008,20.0000,20.0000,16.4000,20.0000,20.0000,20.0000,2008
176,20210531,13:30:00,鋼鐵工業,第一銅,2009,67.8000,71.7000,58.7000,71.7000,67.0000,69.0000,2009
177,20210531,13:30:00,鋼鐵工業,春源,2010,21.5500,22.7000,18.6000,22.7000,20.7000,21.3000,2010
178,20210531,13:30:00,鋼鐵工業,春雨,2012,31.1500,31.1500,25.5500,31.1500,28.3500,28.8000,2012
179,20210531,13:30:00,鋼鐵工業,中鋼構,2013,43.5000,47.4000,38.8000,44.9000,43.0000,43.2500,2013
180,20210531,13:30:00,鋼鐵工業,中鴻,2014,51.8000,53.5000,43.8500,53.5000,50.1000,52.4000,2014
181,20210531,13:30:00,鋼鐵工業,豐興,2015,76.7000,81.4000,66.6000,80.0000,75.1000,75.2000,2015
182,20210531,13:30:00,鋼鐵工業,官田鋼,2017,24.3500,25.7000,21.1000,25.6000,23.0000,23.7000,2017
183,20210531,13:30:00,鋼鐵工業,美亞,2020,35.2000,38.1500,31.2500,37.0000,34.2000,34.5500,2020
184,20210531,13:30:00,鋼鐵工業,聚亨,2022,14.4000,15.1500,12.4500,15.1500,14.3500,15.1500,2022
185,20210531,13:30:00,鋼鐵工業,燁輝,2023,23.7500,24.9500,20.4500,24.9500,23.0000,23.4500,2023
186,20210531,13:30:00,鋼鐵工業,志聯,2024,19.4500,20.1500,16.5500,20.1500,18.9500,19.1000,2024
187,20210531,13:30:00,鋼鐵工業,千興,2025,4.3200,4.3700,3.5900,4.3200,3.9700,3.9800,2025
188,20210531,13:30:00,鋼鐵工業,大成鋼,2027,47.5000,49.4000,40.5000,49.2500,45.6000,46.0000,2027
189,20210531,13:30:00,鋼鐵工業,威致,2028,36.9000,36.9000,30.2000,36.9000,36.9000,36.9000,2028
190,20210531,13:30:00,鋼鐵工業,盛餘,2029,35.3500,37.6500,30.8500,37.0000,33.5000,34.1500,2029
191,20210531,13:30:00,鋼鐵工業,彰源,2030,20.7000,22.1000,18.1000,21.7000,19.8000,20.2500,2030
192,20210531,13:30:00,鋼鐵工業,新光鋼,2031,67.0000,70.8000,58.0000,70.2000,64.2000,64.2000,2031
193,20210531,13:30:00,鋼鐵工業,新鋼,2032,21.5000,22.4500,18.4500,22.2500,20.1500,20.4500,2032
194,20210531,13:30:00,鋼鐵工業,佳大,2033,18.1000,19.0500,15.6500,19.0500,16.9000,17.1000,2033
195,20210531,13:30:00,鋼鐵工業,允強,2034,33.0000,35.6000,29.2000,34.8000,32.0500,32.2000,2034
196,20210531,13:30:00,鋼鐵工業,海光,2038,40.0000,40.8500,33.4500,40.8500,37.3000,37.8000,2038
197,20210531,13:30:00,鋼鐵工業,運錩,2069,25.5000,27.0000,22.1000,26.6000,24.0500,24.1000,2069
198,20210531,13:30:00,鋼鐵工業,長榮鋼,2211,54.9000,59.0000,48.3500,56.9000,53.9000,54.8000,2211
199,20210531,13:30:00,鋼鐵工業,豐達科,3004,57.8000,63.3000,51.9000,57.8000,55.9000,56.2000,3004
200,20210531,13:30:00,鋼鐵工業,三星,5007,60.6000,66.6000,54.6000,61.5000,60.6000,-,5007
201,20210531,13:30:00,鋼鐵工業,東明-KY,5538,42.8000,47.0500,38.5500,46.3000,42.7500,-,5538
202,20210531,13:30:00,鋼鐵工業,世紀鋼,9958,108.5000,116.5000,95.4000,114.0000,108.0000,110.5000,9958
203,20210531,13:30:00,橡膠工業,南港,2101,38.5500,42.0500,34.4500,38.5500,37.9000,38.1000,2101
204,20210531,13:30:00,橡膠工業,泰豐,2102,28.6000,31.4500,25.7500,29.3000,27.0500,27.2000,2102
205,20210531,13:30:00,橡膠工業,台橡,2103,31.1000,33.7500,27.6500,32.0000,30.7000,31.0500,2103
206,20210531,13:30:00,橡膠工業,國際中橡,2104,25.1000,27.3500,22.4500,27.2000,25.1000,27.2000,2104
207,20210531,13:30:00,橡膠工業,正新,2105,47.6000,52.1000,42.7000,47.6000,46.5000,46.6500,2105
208,20210531,13:30:00,橡膠工業,建大,2106,41.3000,45.2500,37.0500,41.5500,40.4500,40.4500,2106
209,20210531,13:30:00,橡膠工業,厚生,2107,24.1500,26.4500,21.6500,24.3000,24.0000,24.1000,2107
210,20210531,13:30:00,橡膠工業,南帝,2108,133.5000,144.0000,118.0000,136.0000,130.5000,131.0000,2108
211,20210531,13:30:00,橡膠工業,華豐,2109,19.4000,21.1500,17.3500,19.7000,18.7000,18.8500,2109
212,20210531,13:30:00,橡膠工業,鑫永銓,2114,120.5000,133.0000,109.0000,121.0000,119.5000,119.5000,2114
213,20210531,13:30:00,橡膠工業,申豐,6582,280.0000,308.0000,252.0000,287.5000,280.0000,280.5000,6582
214,20210531,13:30:00,汽車工業,東陽,1319,32.8500,36.0500,29.5500,33.5000,32.7500,33.1000,1319
215,20210531,13:30:00,汽車工業,廣華-KY,1338,63.4000,69.0000,56.6000,63.4000,62.5000,62.9000,1338
216,20210531,13:30:00,汽車工業,昭輝,1339,38.2000,42.0000,34.4000,38.3000,37.5000,37.9000,1339
217,20210531,13:30:00,汽車工業,瑞利,1512,4.6800,5.0300,4.1300,4.6900,4.5800,4.6000,1512
218,20210531,13:30:00,汽車工業,大億,1521,43.8500,48.0000,39.3000,44.7000,43.6000,44.2000,1521
219,20210531,13:30:00,汽車工業,堤維西,1522,21.5500,23.7000,19.4000,21.9000,21.4000,21.6000,1522
220,20210531,13:30:00,汽車工業,耿鼎,1524,9.9800,11.0000,9.0000,10.2000,9.9300,-,1524
221,20210531,13:30:00,汽車工業,江申,1525,65.2000,71.7000,58.7000,65.5000,64.5000,65.0000,1525
222,20210531,13:30:00,汽車工業,車王電,1533,57.0000,62.0000,50.8000,57.6000,56.2000,56.6000,1533
223,20210531,13:30:00,汽車工業,和大,1536,94.0000,101.5000,83.4000,96.4000,93.0000,93.9000,1536
224,20210531,13:30:00,汽車工業,倉佑,1568,25.3500,28.2000,23.1000,25.8500,25.1000,25.3500,1568
225,20210531,13:30:00,汽車工業,吉茂,1587,28.2000,30.8000,25.2000,28.5000,27.9000,28.0000,1587
226,20210531,13:30:00,汽車工業,英瑞-KY,1592,3.0000,3.3500,2.7500,3.1000,2.9000,2.9300,1592
227,20210531,13:30:00,汽車工業,六暉-KY,2115,46.5000,51.1000,41.8500,47.1500,46.5000,46.9000,2115
228,20210531,13:30:00,汽車工業,裕隆,2201,39.7000,43.6500,35.7500,40.3500,39.4500,39.4500,2201
229,20210531,13:30:00,汽車工業,中華,2204,68.0000,74.5000,61.1000,68.8000,67.8000,68.6000,2204
